Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",C0805,9,10uf,
"C10, C11",CAP-TH_BD5.0-P2.00-D0.8-FD,2,15pf,
"D1, D2, D3, D4, D5",SOD-323_L1.8-W1.3-LS2.5-RD,5,NSR0320MW2T1G,
R1,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,100k,
R2,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,10k,
R3,RES-TH_BD2.4-L6.3-P10.30-D0.6,1,4.7k,
U1,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,SL2.1A_C6798314,
U2,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,FSUSB42MUX,
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,LMV7219M5X/NOPB,
U4,USB-3.0-A-SMD_HC-USB3.0-C26,1,HC-USB3.0-C26,
"USB2, USB3, USB4, USB5",USB-A-TH_USB-231-ARY,4,USB-231-ARY,
USB6,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,12Mhz,
